sha,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,deletions,insertions,lines
6c81f9da0d7f85011e23dd4243ff7b5b6b00189f,0.0,1.0,1.0,2,41,43
4639466618118f7d029a50af99d3d22d95a04e7e,,,,1,1,2
297788408b88371388d9caf96a536fab1f5bf01c,1.0,1.0,1.0,5,10,15
25477761f7dcb27b84543a8401a8aa181e5a79c5,,,,24,210,234
f527eb1dd6045c1c0b9f8d9ddae8abd01bfb3468,,,,3,3,6
3450aa81dafd8c9c88ca0a06dd917e574f016645,,,,2,55,57
cdd9556d15e8e7b9552b88085a71a14792a38f40,,,,19,78,97
71cef8b8cd76014750e5b6ac644718b3bf7771b6,,,,9,76,85
abdf4feaf7bb3699222cca8d5dbce3e75f0a7c1a,,,,29,84,113
f491a55e47dca45ae653176dcec4435d3ef42803,,,,6,13,19
7bd85792b2b2a46997b67d189dab72a4c1f9c507,1.0,1.0,1.0,23,78,101
6852dec3f2578ff5f188c6be2b60289b7934d596,1.0,1.0,1.0,19,43,62
e4b11682bc8d9cd7b9d6624b5a80be7cec50973e,0.4783861671469741,0.6023054755043228,1.0,5,913,918
a7b01e51f6b2814abe9413607d9cd28faed3da9c,,,,2,2,4
66f3a0f1c34dad29948ac7295682b5500dbd69d5,,,,0,33,33
9862bb90618412418aca2bcff6d4df6e3e5f657d,,,,16,40,56
